card_name,set_name,card_number,rarity,raw_price,psa10_chance,expected_profit,roi_pct
M RAYQUAZA EX (SHINY FULL ART),XY - ANCIENT ORIGINS,98/98,ULTRA RARE,954.75,0.1,393.84,40
HO-OH V (FULL ART),SWSH12: SILVER TEMPEST,187/195,ULTRA RARE,7.48,0.59,12.97,40
ROARING MOON EX - 251/182,SV04: PARADOX RIFT,251/182,SPECIAL ILLUSTRATION RARE,40.63,0.36,25.97,40
PIKACHU,SWSH11: LOST ORIGIN TRAINER GALLERY,TG05/TG30,ULTRA RARE,61.3,0.24,33.7,39
ESPEON EX - 155/131,SV: PRISMATIC EVOLUTIONS,155/131,SPECIAL ILLUSTRATION RARE,300.9,0.29,127.13,39
WINONA (108 FULL ART),XY - ROARING SKIES,108/108,ULTRA RARE,35.72,0.03,23.66,39
UMBREON VMAX (SECRET),SWSH07: EVOLVING SKIES,214/203,SECRET RARE,71.05,0.72,37.37,39
SUICUNE V (FULL ART),SWSH07: EVOLVING SKIES,173/203,ULTRA RARE,6.87,0.61,12.36,39
UMBREON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,189/203,ULTRA RARE,352.69,0.44,145.95,39
FURISODE GIRL (FULL ART),SWSH12: SILVER TEMPEST,190/195,ULTRA RARE,5.15,0.54,11.63,39
GHOLDENGO EX - 252/182,SV04: PARADOX RIFT,252/182,SPECIAL ILLUSTRATION RARE,26.31,0.37,19.76,39
FRIGIBAX - 208/193,SV02: PALDEA EVOLVED,208/193,ILLUSTRATION RARE,19.92,0.19,17.21,38
THUNDURUS EX (98 FULL ART),XY - ROARING SKIES,98/108,ULTRA RARE,14.87,0.06,15.24,38
PIKACHU VMAX,SWSH04: VIVID VOLTAGE,044/185,ULTRA RARE,12.18,0.62,14.08,38
M GYARADOS EX,XY - BREAKPOINT,27/122,ULTRA RARE,43.31,0.11,25.86,38
CHARIZARD,XY - EVOLUTIONS,11/108,HOLO RARE,85.8,0.02,41.9,38
POKEMON FAN CLUB (106 FULL ART),XY - FLASHFIRE,106/106,ULTRA RARE,25.18,0.05,18.93,38
M PIDGEOT EX (FULL ART),XY - EVOLUTIONS,105/108,ULTRA RARE,14.01,0.39,14.71,38
RAYQUAZA V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,194/203,ULTRA RARE,345.21,0.51,138.77,37
GARBODOR - 204/182,SV04: PARADOX RIFT,204/182,ILLUSTRATION RARE,15.19,0.41,15.02,37
M STEELIX EX,XY - STEAM SIEGE,68/114,ULTRA RARE,10.88,0.39,13.37,37
M GARDEVOIR EX,XY - STEAM SIEGE,79/114,ULTRA RARE,21.39,0.35,17.23,37
TEAM MAGMA'S GROUDON,CELEBRATIONS: CLASSIC COLLECTION,9/95,CLASSIC COLLECTION,1.66,0.5,9.78,37
MORTY'S CONVICTION - 211/162,SV05: TEMPORAL FORCES,211/162,SPECIAL ILLUSTRATION RARE,78.66,0.43,37.81,36
UMBREON V (FULL ART),SWSH07: EVOLVING SKIES,188/203,ULTRA RARE,53.03,0.37,28.42,36
FLAREON EX - 146/131,SV: PRISMATIC EVOLUTIONS,146/131,SPECIAL ILLUSTRATION RARE,190.1,0.32,77.97,36
METAGROSS - 178/162,SV05: TEMPORAL FORCES,178/162,ILLUSTRATION RARE,36.54,0.44,22.08,36
PIKACHU EX - 057/191,SV08: SURGING SPARKS,057/191,DOUBLE RARE,4.72,0.45,10.62,36
MEWTWO VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG44/GG70,ULTRA RARE,294.31,0.58,114.08,36
CHARMELEON,GENERATIONS: RADIANT COLLECTION,RC4/RC32,COMMON,14.42,0.07,14.02,36
LUGIA VSTAR,SWSH12: SILVER TEMPEST,139/195,ULTRA RARE,5.88,0.56,10.87,35
JIRACHI,GENERATIONS: RADIANT COLLECTION,RC13/RC32,UNCOMMON,18.82,0.04,15.4,35
ORIGIN FORME PALKIA VSTAR (SECRET),SWSH: CROWN ZENITH: GALARIAN GALLERY,GG67/GG70,SECRET RARE,107.75,0.54,46.12,35
MIMIKYU VMAX,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG17/TG30,ULTRA RARE,72.56,0.7,33.81,35
DEOXYS VMAX,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG45/GG70,ULTRA RARE,80.63,0.78,36.25,34
CHARIZARD VMAX,SWSH03: DARKNESS ABLAZE,020/189,ULTRA RARE,53.44,0.7,26.89,34
M GLALIE EX,XY - BREAKTHROUGH,35/162,ULTRA RARE,8.23,0.21,11.38,34
HERACROSS - 194/193,SV02: PALDEA EVOLVED,194/193,ILLUSTRATION RARE,26.61,0.21,17.67,34
CHANDELURE VMAX (SECRET),SWSH08: FUSION STRIKE,265/264,SECRET RARE,8.03,0.64,11.22,34
GRENINJA EX - 214/167,SV06: TWILIGHT MASQUERADE,214/167,SPECIAL ILLUSTRATION RARE,362.28,0.46,129.87,34
GIRATINA VSTAR (212) (SECRET),SWSH11: LOST ORIGIN,212/196,SECRET RARE,18.13,0.54,14.46,34
BLASTOISE EX,XY - EVOLUTIONS,21/108,ULTRA RARE,6.42,0.31,10.52,33
AERODACTYL VSTAR (SECRET),SWSH11: LOST ORIGIN,199/196,SECRET RARE,13.83,0.56,12.87,33
SERENA (FULL ART),SWSH12: SILVER TEMPEST,193/195,ULTRA RARE,14.19,0.54,12.93,33
PALAFIN EX,SV: PRISMATIC EVOLUTIONS,151/131,SPECIAL ILLUSTRATION RARE,43.51,0.4,22.53,33
STEELIX - 208/182,SV04: PARADOX RIFT,208/182,ILLUSTRATION RARE,35.41,0.44,19.66,33
IRON CROWN EX - 206/162,SV05: TEMPORAL FORCES,206/162,SPECIAL ILLUSTRATION RARE,45.71,0.49,22.97,32
ZAMAZENTA V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG54/GG70,ULTRA RARE,20.99,0.63,14.78,32
FUECOCO - 201/193,SV02: PALDEA EVOLVED,201/193,ILLUSTRATION RARE,50.65,0.2,24.24,32
DURALUDON VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,220/203,SECRET RARE,19.92,0.72,14.35,32
MAWILE V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG17/TG30,ULTRA RARE,11.38,0.68,11.57,32
M LUCARIO EX,XY - FURIOUS FISTS,55/111,ULTRA RARE,51.43,0.09,24.23,32
UMBREON VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,215/203,SECRET RARE,2158.96,0.7,686.37,31
BRIGETTE (FULL ART),XY - BREAKTHROUGH,161/162,ULTRA RARE,33.09,0.11,18.05,31
SYLVEON VMAX (SECRET),SWSH07: EVOLVING SKIES,211/203,SECRET RARE,53.48,0.68,24.07,31
CHARIZARD VSTAR (SECRET),SWSH09: BRILLIANT STARS,174/172,SECRET RARE,79.92,0.53,32.14,31
GIRATINA VSTAR (SECRET),SWSH: CROWN ZENITH: GALARIAN GALLERY,GG69/GG70,SECRET RARE,259.5,0.55,87.01,31
GYARADOS V (FULL ART),SWSH07: EVOLVING SKIES,171/203,ULTRA RARE,19.25,0.54,13.4,30
DRAGONITE V (FULL ART),SWSH07: EVOLVING SKIES,191/203,ULTRA RARE,34.64,0.44,17.99,30
ALTARIA,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG19/GG70,ULTRA RARE,12.52,0.35,11.31,30
SCIZOR VMAX (SECRET),SWSH03: DARKNESS ABLAZE,193/189,SECRET RARE,10.97,0.78,10.72,30
AEGISLASH - 210/182,SV04: PARADOX RIFT,210/182,ILLUSTRATION RARE,9.8,0.36,10.34,30
SIMISEAR VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG37/GG70,ULTRA RARE,34.46,0.55,17.43,29
GENESECT V (ALTERNATE FULL ART),SWSH08: FUSION STRIKE,255/264,ULTRA RARE,29.08,0.46,15.77,29
ARBOK - 176/162,SV05: TEMPORAL FORCES,176/162,ILLUSTRATION RARE,21.69,0.48,13.62,29
M LUCARIO EX (SECRET),XY - FURIOUS FISTS,113/111,SECRET RARE,161.54,0.07,52.74,28
SYLVEON EX,GENERATIONS: RADIANT COLLECTION,RC21/RC32,ULTRA RARE,71.04,0.04,27.08,28
CHARIZARD,GENERATIONS: RADIANT COLLECTION,RC5/RC32,UNCOMMON,41.78,0.05,18.63,28
ARCEUS VSTAR (SECRET),SWSH: CROWN ZENITH: GALARIAN GALLERY,GG70/GG70,SECRET RARE,178.76,0.58,56.16,28
PINSIR - 168/167,SV06: TWILIGHT MASQUERADE,168/167,ILLUSTRATION RARE,14.12,0.48,10.77,28
MAUSHOLD - 226/193,SV02: PALDEA EVOLVED,226/193,ILLUSTRATION RARE,98.38,0.14,33.2,27
BLITZLE - 195/182,SV04: PARADOX RIFT,195/182,ILLUSTRATION RARE,7.9,0.41,8.79,27
KANGASKHAN EX (103 FULL ART),XY - FLASHFIRE,103/106,ULTRA RARE,34.29,0.04,15.84,27
EXCADRILL - 174/162,SV05: TEMPORAL FORCES,174/162,ILLUSTRATION RARE,8.18,0.55,8.76,26
RAGING BOLT EX - 208/162,SV05: TEMPORAL FORCES,208/162,SPECIAL ILLUSTRATION RARE,68.4,0.44,24.36,26
PIDGEY - 207/197,SV03: OBSIDIAN FLAMES,207/197,ILLUSTRATION RARE,19.06,0.25,11.49,26
GARCHOMP EX - 245/182,SV04: PARADOX RIFT,245/182,SPECIAL ILLUSTRATION RARE,38.34,0.32,16.5,26
PERRIN - 209/167,SV06: TWILIGHT MASQUERADE,209/167,ULTRA RARE,5.19,0.47,7.8,26
ZACIAN V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG48/GG70,ULTRA RARE,28.16,0.59,13.65,26
HOOPA V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG53/GG70,ULTRA RARE,10.65,0.65,9.13,26
LUCARIO EX,XY - FURIOUS FISTS,54/111,ULTRA RARE,10.25,0.12,8.93,25
LEAFEON EX - 144/131,SV: PRISMATIC EVOLUTIONS,144/131,SPECIAL ILLUSTRATION RARE,320.17,0.35,87.39,25
VAPOREON V (FULL ART),SWSH07: EVOLVING SKIES,172/203,ULTRA RARE,22.26,0.57,11.85,25
BLASTOISE EX,GENERATIONS,17/83,ULTRA RARE,13.83,0.13,9.72,25
DRAGONITE V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,192/203,ULTRA RARE,443.02,0.51,117.14,25
YVELTAL - 205/182,SV04: PARADOX RIFT,205/182,ILLUSTRATION RARE,24.17,0.38,12.31,25
LUXRAY GL LV.X,CELEBRATIONS: CLASSIC COLLECTION,109/111,CLASSIC COLLECTION,3.89,0.62,7.18,25
SAWSBUCK - 166/162,SV05: TEMPORAL FORCES,166/162,ILLUSTRATION RARE,55.11,0.38,19.79,25
DRAGONITE EX (FULL ART),XY - EVOLUTIONS,106/108,ULTRA RARE,49.21,0.11,18.26,25
LEAFEON VMAX (SECRET),SWSH07: EVOLVING SKIES,204/203,SECRET RARE,33.37,0.73,14.32,25
BLAZIKEN V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG14/TG30,ULTRA RARE,30.03,0.67,13.46,24
STEVEN (FULL ART),XY - ANCIENT ORIGINS,95/98,ULTRA RARE,37.67,0.26,15.32,24
LECHONK - 209/197,SV03: OBSIDIAN FLAMES,209/197,ILLUSTRATION RARE,13.58,0.23,9.38,24
ORBEETLE VMAX,SWSH11: LOST ORIGIN TRAINER GALLERY,TG13/TG30,ULTRA RARE,10.13,0.67,8.48,24
PIDGEOTTO - 208/197,SV03: OBSIDIAN FLAMES,208/197,ILLUSTRATION RARE,11.63,0.2,8.81,24
ARCEUS VSTAR (SECRET) (176),SWSH09: BRILLIANT STARS,176/172,SECRET RARE,15.09,0.56,9.56,24
LEAFEON VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG35/GG70,ULTRA RARE,82.6,0.58,25.61,24
HISUIAN ZOROARK VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG56/GG70,ULTRA RARE,45,0.62,16.49,24
LUGIA VSTAR (SECRET) (202),SWSH12: SILVER TEMPEST,202/195,SECRET RARE,36.78,0.51,14.49,23
LUMINEON V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG39/GG70,ULTRA RARE,20.39,0.6,10.6,23
BROCK'S GRIT (FULL ART),XY - EVOLUTIONS,107/108,ULTRA RARE,8.72,0.29,7.87,23
ESPEON EX,XY - BREAKPOINT,52/122,ULTRA RARE,25.26,0.12,11.69,23
FLAREON EX (FULL ART),GENERATIONS: RADIANT COLLECTION,RC28/RC32,ULTRA RARE,158.39,0.03,42.03,23
GARDEVOIR EX (DELTA SPECIES),CELEBRATIONS: CLASSIC COLLECTION,93/101,CLASSIC COLLECTION,9.31,0.66,7.82,23
PLUSLE - 193/182,SV04: PARADOX RIFT,193/182,ILLUSTRATION RARE,51.01,0.37,17.23,23
DURALUDON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,198/203,ULTRA RARE,17.09,0.59,9.42,22
HATTERENE VMAX,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG47/GG70,ULTRA RARE,7.19,0.78,7.17,22
IRON VALIANT EX - 249/182,SV04: PARADOX RIFT,249/182,SPECIAL ILLUSTRATION RARE,22.91,0.4,10.65,22
RAYQUAZA EX (60),XY - ROARING SKIES,60/108,ULTRA RARE,20.39,0.08,10.08,22
ZERAORA VMAX,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG42/GG70,ULTRA RARE,25.27,0.77,11.05,22
JOLTEON EX - 153/131,SV: PRISMATIC EVOLUTIONS,153/131,SPECIAL ILLUSTRATION RARE,195.26,0.3,48.27,22
MORPEKO - 206/182,SV04: PARADOX RIFT,206/182,ILLUSTRATION RARE,34.85,0.4,13.11,22
GIMMIGHOUL - 198/182,SV04: PARADOX RIFT,198/182,ILLUSTRATION RARE,14.38,0.42,8.61,22
TING-LU EX - 263/193,SV02: PALDEA EVOLVED,263/193,SPECIAL ILLUSTRATION RARE,11.4,0.57,7.93,22
PORYGON-Z - 214/182,SV04: PARADOX RIFT,214/182,ILLUSTRATION RARE,11.72,0.42,7.89,21
VAPOREON VMAX,SWSH07: EVOLVING SKIES,030/203,ULTRA RARE,9.85,0.64,7.48,21
JOLTEON V (FULL ART),SWSH07: EVOLVING SKIES,177/203,ULTRA RARE,19.63,0.5,9.53,21
FEEBAS - 198/191,SV08: SURGING SPARKS,198/191,ILLUSTRATION RARE,8.2,0.38,7.08,21
GIRATINA VSTAR (201) (SECRET),SWSH11: LOST ORIGIN,201/196,SECRET RARE,26.71,0.54,10.93,21
LEAFEON VMAX,SWSH07: EVOLVING SKIES,008/203,ULTRA RARE,8.7,0.57,7.07,21
SYLVEON VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,212/203,SECRET RARE,371.86,0.72,82.09,21
SYLVEON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,184/203,ULTRA RARE,151.95,0.52,36.35,21
VAPOREON EX - 149/131,SV: PRISMATIC EVOLUTIONS,149/131,SPECIAL ILLUSTRATION RARE,268.98,0.26,60.32,21
SYLVEON VMAX,SWSH07: EVOLVING SKIES,075/203,ULTRA RARE,16.85,0.64,8.4,20
BUTTERFREE VMAX (SECRET),SWSH03: DARKNESS ABLAZE,190/189,SECRET RARE,19.28,0.76,8.84,20
SLOWKING EX - 238/193,SV02: PALDEA EVOLVED,238/193,ULTRA RARE,5.56,0.45,6.06,20
RESHIRAM V (FULL ART),SWSH12: SILVER TEMPEST,172/195,ULTRA RARE,6.42,0.6,6.19,20
FLAMIGO - 227/193,SV02: PALDEA EVOLVED,227/193,ILLUSTRATION RARE,10.69,0.22,7,20
M GENGAR EX (121 SECRET RARE),XY - PHANTOM FORCES,121/119,SECRET RARE,528.53,0.04,108.52,20
EEVEE EX - 167/131,SV: PRISMATIC EVOLUTIONS,167/131,SPECIAL ILLUSTRATION RARE,181.4,0.3,40.1,19
KYOGRE EX,XY - PRIMAL CLASH,54/160,ULTRA RARE,18.54,0.12,8.39,19
LATIAS EX - 239/191,SV08: SURGING SPARKS,239/191,SPECIAL ILLUSTRATION RARE,178.3,0.35,39.04,19
LEAFEON VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,205/203,SECRET RARE,353.7,0.71,71.03,19
RAPID STRIKE URSHIFU VMAX,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG21/TG30,ULTRA RARE,10.61,0.73,6.67,19
CRESSELIA (SECRET),SWSH07: EVOLVING SKIES,228/203,SECRET RARE,12.32,0.57,6.93,19
GALARIAN ZAPDOS V (SECRET),SWSH09: BRILLIANT STARS,182/172,SECRET RARE,13.04,0.53,6.97,18
ARCEUS V (ALTERNATE FULL ART),SWSH09: BRILLIANT STARS,166/172,ULTRA RARE,58.03,0.55,14.88,18
CORVIKNIGHT V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG18/TG30,ULTRA RARE,13.16,0.64,6.76,18
M AGGRON EX,XY - PRIMAL CLASH,94/160,ULTRA RARE,17.89,0.08,7.55,18
CERULEDGE - 197/191,SV08: SURGING SPARKS,197/191,ILLUSTRATION RARE,20.56,0.35,7.85,17
SLOWPOKE (MASTER BALL PATTERN),SV: PRISMATIC EVOLUTIONS,018/131,COMMON,4.18,0.32,5.02,17
TYRANITAR EX - 211/197,SV03: OBSIDIAN FLAMES,211/197,ULTRA RARE,5.36,0.46,5.19,17
MARNIE'S PRIDE (FULL ART),SWSH09: BRILLIANT STARS,171/172,ULTRA RARE,11.28,0.51,6.09,17
GLACEON VMAX (SECRET),SWSH07: EVOLVING SKIES,208/203,SECRET RARE,35.24,0.74,10,17
GIOVANNI'S SCHEME (FULL ART),XY - BREAKTHROUGH,162/162,ULTRA RARE,21.66,0.11,7.74,17
LOUDRED - 212/182,SV04: PARADOX RIFT,212/182,ILLUSTRATION RARE,15.02,0.42,6.62,17
BLISSEY V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG22/TG30,ULTRA RARE,20.31,0.66,7.39,16
CERULEDGE EX,SV: PRISMATIC EVOLUTIONS,147/131,SPECIAL ILLUSTRATION RARE,99.73,0.41,20.33,16
SWABLU - 213/182,SV04: PARADOX RIFT,213/182,ILLUSTRATION RARE,26.59,0.38,8.15,16
GALARIAN MOLTRES V (SECRET),SWSH09: BRILLIANT STARS,183/172,SECRET RARE,16.2,0.53,6.5,16
ORIGIN FORME DIALGA VSTAR (SECRET),SWSH: CROWN ZENITH: GALARIAN GALLERY,GG68/GG70,SECRET RARE,124,0.57,23.13,16
MANTYKE - 189/182,SV04: PARADOX RIFT,189/182,ILLUSTRATION RARE,37.67,0.4,9.28,15
ARCEUS V (FULL ART),SWSH09: BRILLIANT STARS,165/172,ULTRA RARE,8.81,0.57,4.98,15
FLYGON EX - 222/191,SV08: SURGING SPARKS,222/191,ULTRA RARE,2.82,0.5,4.1,15
SKELEDIRGE EX - 272/193,SV02: PALDEA EVOLVED,272/193,HYPER RARE,5.3,0.58,4.44,15
LYCANROC VMAX (SECRET),SWSH07: EVOLVING SKIES,213/203,SECRET RARE,9.53,0.77,5.05,15
SERPERIOR V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG13/TG30,ULTRA RARE,20.3,0.63,6.49,14
ESPEON V (FULL ART),SWSH07: EVOLVING SKIES,179/203,ULTRA RARE,21.93,0.58,6.68,14
M ALTARIA EX,XY - FATES COLLIDE,69/124,ULTRA RARE,9.03,0.31,4.67,14
M SLOWBRO EX,XY - EVOLUTIONS,27/108,ULTRA RARE,9.77,0.31,4.73,14
MILOTIC EX - 237/191,SV08: SURGING SPARKS,237/191,SPECIAL ILLUSTRATION RARE,129.04,0.38,20.89,14
WALKING WAKE EX - 205/162,SV05: TEMPORAL FORCES,205/162,SPECIAL ILLUSTRATION RARE,54.87,0.48,10.82,14
CORVIKNIGHT VMAX,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG19/TG30,ULTRA RARE,8.85,0.76,4.57,13
SHIFTRY - 163/162,SV05: TEMPORAL FORCES,163/162,ILLUSTRATION RARE,10.64,0.53,4.8,13
IONO - 269/193,SV02: PALDEA EVOLVED,269/193,SPECIAL ILLUSTRATION RARE,61.34,0.47,11.61,13
GLACEON VMAX,SWSH07: EVOLVING SKIES,041/203,ULTRA RARE,7.65,0.61,4.36,13
FLAREON VMAX,SWSH07: EVOLVING SKIES,018/203,ULTRA RARE,12.07,0.61,4.93,13
CROCALOR - 202/193,SV02: PALDEA EVOLVED,202/193,ILLUSTRATION RARE,21.31,0.21,6.1,13
GLACEON VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG40/GG70,ULTRA RARE,68.74,0.58,12.3,13
LANCE (FULL ART),SWSH12: SILVER TEMPEST,192/195,ULTRA RARE,4.67,0.55,3.8,13
PALDEAN TAUROS - 218/193,SV02: PALDEA EVOLVED,218/193,ILLUSTRATION RARE,14.79,0.22,4.98,13
CHIEN-PAO EX - 261/193,SV02: PALDEA EVOLVED,261/193,SPECIAL ILLUSTRATION RARE,26.62,0.54,6.38,12
GARCHOMP EX - 260/182,SV04: PARADOX RIFT,260/182,HYPER RARE,13.78,0.37,4.73,12
MAGBY - 186/182,SV04: PARADOX RIFT,186/182,ILLUSTRATION RARE,18.43,0.38,5.19,12
POKEMON RANGER (FULL ART),XY - STEAM SIEGE,113/114,ULTRA RARE,7.5,0.31,3.84,12
PRIMAL KYOGRE EX (ALPHA),XY - PRIMAL CLASH,55/160,ULTRA RARE,58.91,0.04,9.79,12
ARCTIBAX - 209/193,SV02: PALDEA EVOLVED,209/193,ILLUSTRATION RARE,15.57,0.21,4.72,12
SUPER ROD - 276/193,SV02: PALDEA EVOLVED,276/193,HYPER RARE,4.4,0.41,3.17,11
ETERNATUS VMAX (SECRET),SWSH03: DARKNESS ABLAZE,192/189,SECRET RARE,10.8,0.81,3.79,11
ZERAORA V,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG16/TG30,ULTRA RARE,10.81,0.73,3.78,11
UNOWN V (ALTERNATE FULL ART),SWSH12: SILVER TEMPEST,177/195,ULTRA RARE,26.15,0.49,5.34,10
GHOLDENGO EX - 231/182,SV04: PARADOX RIFT,231/182,ULTRA RARE,3.61,0.51,2.96,10
FLAREON V (FULL ART),SWSH07: EVOLVING SKIES,169/203,ULTRA RARE,18.29,0.53,4.43,10
MEOWSCARADA EX - 256/193,SV02: PALDEA EVOLVED,256/193,SPECIAL ILLUSTRATION RARE,33.05,0.51,5.93,10
GOLURK V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,182/203,ULTRA RARE,29.66,0.52,5.47,10
ALOLAN VULPIX VSTAR (SECRET),SWSH12: SILVER TEMPEST,197/195,SECRET RARE,22.94,0.52,4.71,10
M VENUSAUR EX,XY - EVOLUTIONS,2/108,ULTRA RARE,13.57,0.34,3.65,9
M SCIZOR EX,XY - BREAKPOINT,77/122,ULTRA RARE,18.93,0.12,4.05,9
M GALLADE EX,XY - ROARING SKIES,35/108,ULTRA RARE,15.13,0.09,3.69,9
UNOWN VSTAR (SECRET),SWSH12: SILVER TEMPEST,199/195,SECRET RARE,9.57,0.53,3.01,9
CRYSTAL CAVE (SECRET),SWSH07: EVOLVING SKIES,230/203,SECRET RARE,4.61,0.54,2.52,9
GLACEON V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,175/203,ULTRA RARE,139.54,0.49,13.95,8
PIDGEOT EX - 225/197,SV03: OBSIDIAN FLAMES,225/197,SPECIAL ILLUSTRATION RARE,20.99,0.28,3.77,8
HISUIAN SAMUROTT VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG52/GG70,ULTRA RARE,11.04,0.62,2.9,8
SERPERIOR VSTAR (SECRET) (210),SWSH12: SILVER TEMPEST,210/195,SECRET RARE,5.8,0.63,2.48,8
MARILL - 204/193,SV02: PALDEA EVOLVED,204/193,ILLUSTRATION RARE,54.8,0.18,6.39,8
SQUAWKABILLY EX - 264/193,SV02: PALDEA EVOLVED,264/193,SPECIAL ILLUSTRATION RARE,9.73,0.43,2.77,8
BLOODMOON URSALUNA EX - 216/167,SV06: TWILIGHT MASQUERADE,216/167,SPECIAL ILLUSTRATION RARE,42.46,0.47,5.36,8
NESSA,SWSH11: LOST ORIGIN TRAINER GALLERY,TG27/TG30,ULTRA RARE,10.72,0.5,2.83,8
CLOBBOPUS - 207/191,SV08: SURGING SPARKS,207/191,ILLUSTRATION RARE,6.32,0.31,2.45,8
SKARMORY - 209/191,SV08: SURGING SPARKS,209/191,ILLUSTRATION RARE,10.44,0.32,2.52,7
MEDICHAM V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,186/203,ULTRA RARE,20.25,0.61,3.07,7
REGIELEKI VMAX (SECRET),SWSH12: SILVER TEMPEST,198/195,SECRET RARE,7.96,0.73,2.21,7
QUAQUAVAL EX - 260/193,SV02: PALDEA EVOLVED,260/193,SPECIAL ILLUSTRATION RARE,14.55,0.54,2.64,7
GREEDENT V (ALTERNATE FULL ART),SWSH08: FUSION STRIKE,257/264,ULTRA RARE,14.42,0.53,2.63,7
M BLASTOISE EX,GENERATIONS,18/83,ULTRA RARE,27.13,0.12,3.46,7
ZINNIA'S RESOLVE (FULL ART),SWSH07: EVOLVING SKIES,203/203,ULTRA RARE,5.5,0.55,1.98,6
BIANCA'S DEVOTION - 209/162,SV05: TEMPORAL FORCES,209/162,SPECIAL ILLUSTRATION RARE,22.46,0.47,3.01,6
PIKACHU VMAX (SECRET),SWSH04: VIVID VOLTAGE,188/185,SECRET RARE,195.92,0.59,13.88,6
FRIENDS IN SINNOH (FULL ART),SWSH: CROWN ZENITH,149/159,ULTRA RARE,8.33,0.58,2.09,6
PHANPY - 205/191,SV08: SURGING SPARKS,205/191,ILLUSTRATION RARE,8.03,0.38,2.07,6
SKELEDIRGE EX - 258/193,SV02: PALDEA EVOLVED,258/193,SPECIAL ILLUSTRATION RARE,34.27,0.56,3.57,6
RIKA - 258/182,SV04: PARADOX RIFT,258/182,SPECIAL ILLUSTRATION RARE,7.55,0.36,1.95,6
EXEGGCUTE - 192/191,SV08: SURGING SPARKS,192/191,ILLUSTRATION RARE,7.39,0.36,1.87,6
MISMAGIUS - 212/193,SV02: PALDEA EVOLVED,212/193,ILLUSTRATION RARE,45.94,0.22,3.84,5
GOLISOPOD EX - 246/182,SV04: PARADOX RIFT,246/182,SPECIAL ILLUSTRATION RARE,25.37,0.29,2.69,5
GARCHOMP EX - 219/182,SV04: PARADOX RIFT,219/182,ULTRA RARE,6.56,0.41,1.68,5
LYSANDRE (104 FULL ART),XY - FLASHFIRE,104/106,ULTRA RARE,32.16,0.1,2.89,5
GALARIAN ARTICUNO V (SECRET),SWSH09: BRILLIANT STARS,181/172,SECRET RARE,14.2,0.53,1.97,5
ARCEUS VSTAR (SECRET) (184),SWSH09: BRILLIANT STARS,184/172,SECRET RARE,18.16,0.57,2.17,5
BAXCALIBUR - 210/193,SV02: PALDEA EVOLVED,210/193,ILLUSTRATION RARE,29.62,0.2,2.73,5
SNOM - 168/162,SV05: TEMPORAL FORCES,168/162,ILLUSTRATION RARE,14.31,0.44,1.89,5
SHAYMIN VSTAR (SECRET),SWSH09: BRILLIANT STARS,173/172,SECRET RARE,6.67,0.53,1.52,5
PALDEAN WOOPER - 221/193,SV02: PALDEA EVOLVED,221/193,ILLUSTRATION RARE,13.23,0.2,1.83,5
CINCCINO - 183/162,SV05: TEMPORAL FORCES,183/162,ILLUSTRATION RARE,32.66,0.51,2.63,5
ROTOM V (ALTERNATE FULL ART),SWSH11: LOST ORIGIN,177/196,ULTRA RARE,29.63,0.46,2.33,4
SPHEAL - 199/191,SV08: SURGING SPARKS,199/191,ILLUSTRATION RARE,9.44,0.35,1.45,4
